Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,4,10,2.016,10,4.775E-4,2.303,-7.647
10,2,20,1.916,20,5.968E-5,2.996,-9.726
20,2,30,1.157,30,8.842E-6,3.401,-11.636
30,1,40,0.923,40,3.730E-6,3.689,-12.499
40,1,50,0.917,50,1.910E-6,3.912,-13.168
50,1,60,0.999,60,1.105E-6,4.094,-13.715
60,1,70,1.267,70,6.960E-7,4.248,-14.178
70,1,80,1.708,80,9.325E-7,4.382,-13.885
80,2,90,2.060,90,6.550E-7,4.500,-14.239
90,2,100,2.082,100,4.775E-7,4.605,-14.555
100,2,110,1.944,110,3.587E-7,4.700,-14.841
110,2,120,2.011,120,2.763E-7,4.787,-15.102
120,2,NaN,NaN,NaN,NaN,NaN,NaN
