Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,3,10,1.017,10,0.003,2.303,-5.750
10,1,20,0.967,20,7.958E-4,2.996,-7.136
20,1,30,0.991,30,3.537E-4,3.401,-7.947
30,1,40,1.023,40,1.989E-4,3.689,-8.522
40,1,50,1.027,50,1.273E-4,3.912,-8.969
50,1,60,1.005,60,8.842E-5,4.094,-9.333
60,1,70,0.978,70,6.496E-5,4.248,-9.642
70,1,80,0.968,80,4.974E-5,4.382,-9.909
80,1,90,0.984,90,3.930E-5,4.500,-10.144
90,1,100,1.018,100,3.183E-5,4.605,-10.355
100,1,110,1.043,110,2.631E-5,4.700,-10.546
110,1,120,1.033,120,2.210E-5,4.787,-10.720
120,1,130,0.981,130,1.883E-5,4.868,-10.880
130,1,140,0.922,140,1.624E-5,4.942,-11.028
140,1,150,0.948,150,1.415E-5,5.011,-11.166
150,1,160,1.204,160,1.243E-5,5.075,-11.295
160,1,170,1.861,170,2.203E-5,5.136,-10.723
170,2,180,3.030,180,2.947E-5,5.193,-10.432
180,3,NaN,NaN,NaN,NaN,NaN,NaN
