Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,2,10,3.981,10,9.549E-4,2.303,-6.954
10,4,20,3.934,20,1.194E-4,2.996,-9.033
20,4,30,4.209,30,3.537E-5,3.401,-10.250
30,4,40,4.292,40,1.492E-5,3.689,-11.113
40,4,50,4.047,50,9.549E-6,3.912,-11.559
50,5,60,3.536,60,3.316E-6,4.094,-12.617
60,3,70,2.895,70,2.088E-6,4.248,-13.079
70,3,80,2.256,80,9.325E-7,4.382,-13.885
80,2,90,1.712,90,6.550E-7,4.500,-14.239
90,2,100,1.309,100,2.387E-7,4.605,-15.248
100,1,110,1.049,110,1.794E-7,4.700,-15.534
110,1,120,0.907,120,1.382E-7,4.787,-15.795
120,1,130,0.849,130,1.087E-7,4.868,-16.035
130,1,140,0.849,140,8.700E-8,4.942,-16.257
140,1,150,0.898,150,7.074E-8,5.011,-16.464
150,1,160,1.009,160,5.828E-8,5.075,-16.658
160,1,170,1.207,170,4.859E-8,5.136,-16.840
170,1,180,1.519,180,4.093E-8,5.193,-17.011
180,1,190,1.956,190,6.961E-8,5.247,-16.480
190,2,200,2.492,200,8.952E-8,5.298,-16.229
200,3,210,3.047,210,7.733E-8,5.347,-16.375
210,3,220,3.487,220,8.968E-8,5.394,-16.227
220,4,230,3.636,230,5.886E-8,5.438,-16.648
230,3,240,3.319,240,5.181E-8,5.481,-16.776
240,3,250,2.448,250,4.584E-8,5.521,-16.898
250,3,260,1.157,260,1.358E-8,5.561,-18.114
260,1,NaN,NaN,NaN,NaN,NaN,NaN
