Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,2,10,2.652,10,0.010,2.303,-4.651
10,3,20,4.340,20,0.002,2.996,-6.038
20,3,30,5.242,30,0.002,3.401,-6.001
30,7,40,5.372,40,9.947E-4,3.689,-6.913
40,5,50,4.915,50,5.093E-4,3.912,-7.582
50,4,60,4.114,60,3.537E-4,4.094,-7.947
60,4,70,3.202,70,2.598E-4,4.248,-8.255
70,4,80,2.358,80,1.492E-4,4.382,-8.810
80,3,90,1.693,90,3.930E-5,4.500,-10.144
90,1,100,1.251,100,3.183E-5,4.605,-10.355
100,1,110,1.020,110,2.631E-5,4.700,-10.546
110,1,120,0.947,120,2.210E-5,4.787,-10.720
120,1,130,0.964,130,1.883E-5,4.868,-10.880
130,1,140,1.006,140,1.624E-5,4.942,-11.028
140,1,150,1.022,150,1.415E-5,5.011,-11.166
150,1,160,0.993,160,1.243E-5,5.075,-11.295
160,1,170,0.928,170,1.101E-5,5.136,-11.416
170,1,180,0.863,180,9.824E-6,5.193,-11.531
180,1,190,0.854,190,8.817E-6,5.247,-11.639
190,1,200,0.956,200,7.958E-6,5.298,-11.741
200,1,210,1.211,210,7.218E-6,5.347,-11.839
210,1,220,1.624,220,6.577E-6,5.394,-11.932
220,1,230,2.151,230,1.805E-5,5.438,-10.922
230,3,240,2.693,240,1.105E-5,5.481,-11.413
240,2,250,3.097,250,1.528E-5,5.521,-11.089
250,3,260,3.184,260,1.883E-5,5.561,-10.880
260,4,270,2.799,270,1.310E-5,5.598,-11.243
270,3,280,1.895,280,4.060E-6,5.635,-12.414
280,1,290,0.656,290,3.785E-6,5.670,-12.484
290,1,NaN,NaN,NaN,NaN,NaN,NaN
