Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,2,10,4.619,10,0.001,2.303,-6.731
10,5,20,3.055,20,5.968E-5,2.996,-9.726
20,2,30,2.535,30,2.653E-5,3.401,-10.537
30,3,40,2.376,40,1.119E-5,3.689,-11.400
40,3,50,2.252,50,3.820E-6,3.912,-12.475
50,2,60,2.049,60,2.210E-6,4.094,-13.022
60,2,70,1.771,70,1.392E-6,4.248,-13.485
70,2,80,1.467,80,4.663E-7,4.382,-14.578
80,1,90,1.195,90,3.275E-7,4.500,-14.932
90,1,100,0.994,100,2.387E-7,4.605,-15.248
100,1,110,0.879,110,1.794E-7,4.700,-15.534
110,1,120,0.843,120,1.382E-7,4.787,-15.795
120,1,130,0.864,130,1.087E-7,4.868,-16.035
130,1,140,0.913,140,8.700E-8,4.942,-16.257
140,1,150,0.969,150,7.074E-8,5.011,-16.464
150,1,160,1.021,160,5.828E-8,5.075,-16.658
160,1,170,1.077,170,4.859E-8,5.136,-16.840
170,1,180,1.161,180,4.093E-8,5.193,-17.011
180,1,190,1.309,190,3.481E-8,5.247,-17.173
190,1,200,1.560,200,5.968E-8,5.298,-16.634
200,2,210,1.943,210,5.156E-8,5.347,-16.781
210,2,220,2.465,220,4.484E-8,5.394,-16.920
220,2,230,3.098,230,5.886E-8,5.438,-16.648
230,3,240,3.770,240,6.908E-8,5.481,-16.488
240,4,250,4.367,250,7.639E-8,5.521,-16.387
250,5,260,4.739,260,6.791E-8,5.561,-16.505
260,5,270,4.734,270,4.852E-8,5.598,-16.841
270,4,280,4.242,280,4.350E-8,5.635,-16.950
280,4,290,3.280,290,2.937E-8,5.670,-17.343
290,3,300,2.101,300,2.653E-8,5.704,-17.445
300,3,310,1.352,310,8.014E-9,5.737,-18.642
310,1,NaN,NaN,NaN,NaN,NaN,NaN
