Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,2,10,2.024,10,0.006,2.303,-5.057
10,2,20,2.860,20,0.002,2.996,-6.038
20,3,30,2.329,30,7.074E-4,3.401,-7.254
30,2,40,1.629,40,3.979E-4,3.689,-7.829
40,2,50,1.178,50,1.273E-4,3.912,-8.969
50,1,60,1.000,60,8.842E-5,4.094,-9.333
60,1,70,0.979,70,6.496E-5,4.248,-9.642
70,1,80,1.000,80,4.974E-5,4.382,-9.909
80,1,90,1.005,90,3.930E-5,4.500,-10.144
90,1,100,0.995,100,3.183E-5,4.605,-10.355
100,1,110,0.992,110,2.631E-5,4.700,-10.546
110,1,120,1.006,120,2.210E-5,4.787,-10.720
120,1,130,1.012,130,1.883E-5,4.868,-10.880
130,1,140,0.987,140,1.624E-5,4.942,-11.028
140,1,150,1.004,150,1.415E-5,5.011,-11.166
150,1,NaN,NaN,NaN,NaN,NaN,NaN
