Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,2,10,3.781,10,7.162E-4,2.303,-7.242
10,3,20,2.947,20,1.492E-4,2.996,-8.810
20,5,30,2.335,30,8.842E-6,3.401,-11.636
30,1,40,1.890,40,7.460E-6,3.689,-11.806
40,2,50,1.570,50,1.910E-6,3.912,-13.168
50,1,60,1.344,60,2.210E-6,4.094,-13.022
60,2,70,1.186,70,6.960E-7,4.248,-14.178
70,1,80,1.078,80,4.663E-7,4.382,-14.578
80,1,90,1.008,90,3.275E-7,4.500,-14.932
90,1,100,0.966,100,2.387E-7,4.605,-15.248
100,1,110,0.944,110,1.794E-7,4.700,-15.534
110,1,120,0.937,120,1.382E-7,4.787,-15.795
120,1,130,0.941,130,1.087E-7,4.868,-16.035
130,1,140,0.953,140,8.700E-8,4.942,-16.257
140,1,150,0.970,150,7.074E-8,5.011,-16.464
150,1,160,0.989,160,5.828E-8,5.075,-16.658
160,1,170,1.009,170,4.859E-8,5.136,-16.840
170,1,180,1.027,180,4.093E-8,5.193,-17.011
180,1,190,1.043,190,3.481E-8,5.247,-17.173
190,1,200,1.054,200,2.984E-8,5.298,-17.327
200,1,210,1.059,210,2.578E-8,5.347,-17.474
210,1,220,1.058,220,2.242E-8,5.394,-17.613
220,1,230,1.051,230,1.962E-8,5.438,-17.747
230,1,240,1.037,240,1.727E-8,5.481,-17.874
240,1,250,1.019,250,1.528E-8,5.521,-17.997
250,1,260,0.997,260,1.358E-8,5.561,-18.114
260,1,270,0.972,270,1.213E-8,5.598,-18.228
270,1,280,0.949,280,1.088E-8,5.635,-18.337
280,1,290,0.928,290,9.789E-9,5.670,-18.442
290,1,300,0.914,300,8.842E-9,5.704,-18.544
300,1,310,0.910,310,8.014E-9,5.737,-18.642
310,1,320,0.917,320,7.286E-9,5.768,-18.737
320,1,330,0.940,330,6.643E-9,5.799,-18.830
330,1,340,0.979,340,6.074E-9,5.829,-18.919
340,1,350,1.038,350,5.568E-9,5.858,-19.006
350,1,360,1.115,360,5.117E-9,5.886,-19.091
360,1,370,1.210,370,4.713E-9,5.914,-19.173
370,1,380,1.322,380,4.351E-9,5.940,-19.253
380,1,390,1.446,390,4.025E-9,5.966,-19.331
390,1,400,1.578,400,1.119E-8,5.991,-18.308
400,3,410,1.711,410,3.464E-9,6.016,-19.481
410,1,420,1.837,420,6.445E-9,6.040,-18.860
420,2,430,1.948,430,6.005E-9,6.064,-18.931
430,2,440,2.034,440,5.605E-9,6.087,-19.000
440,2,450,2.086,450,5.240E-9,6.109,-19.067
450,2,460,2.094,460,4.905E-9,6.131,-19.133
460,2,470,2.053,470,4.599E-9,6.153,-19.197
470,2,480,1.957,480,4.317E-9,6.174,-19.261
480,2,490,1.809,490,4.058E-9,6.194,-19.322
490,2,500,1.615,500,3.820E-9,6.215,-19.383
500,2,510,1.391,510,1.800E-9,6.234,-20.136
510,1,520,1.167,520,1.698E-9,6.254,-20.194
520,1,530,0.984,530,1.604E-9,6.273,-20.251
530,1,540,0.903,540,1.516E-9,6.292,-20.307
540,1,NaN,NaN,NaN,NaN,NaN,NaN
