Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,2,10,1.915,10,4.775E-4,2.303,-7.647
10,2,20,2.020,20,5.968E-5,2.996,-9.726
20,2,30,2.181,30,1.768E-5,3.401,-10.943
30,2,40,2.107,40,7.460E-6,3.689,-11.806
40,2,50,1.832,50,3.820E-6,3.912,-12.475
50,2,60,1.512,60,2.210E-6,4.094,-13.022
60,2,70,1.310,70,6.960E-7,4.248,-14.178
70,1,80,1.328,80,4.663E-7,4.382,-14.578
80,1,90,1.587,90,3.275E-7,4.500,-14.932
90,1,100,2.033,100,7.162E-7,4.605,-14.149
100,3,110,2.561,110,5.381E-7,4.700,-14.435
110,3,120,3.048,120,4.145E-7,4.787,-14.696
120,3,130,3.383,130,3.260E-7,4.868,-14.936
130,3,140,3.495,140,2.610E-7,4.942,-15.159
140,3,150,3.369,150,2.122E-7,5.011,-15.366
150,3,160,3.047,160,1.749E-7,5.075,-15.559
160,3,170,2.622,170,1.458E-7,5.136,-15.741
170,3,180,2.214,180,1.228E-7,5.193,-15.913
180,3,190,1.942,190,1.044E-7,5.247,-16.075
190,3,200,1.887,200,2.984E-8,5.298,-17.327
200,1,210,2.062,210,2.578E-8,5.347,-17.474
210,1,220,2.390,220,4.484E-8,5.394,-16.920
220,2,230,2.704,230,3.924E-8,5.438,-17.054
230,2,240,2.781,240,1.036E-7,5.481,-16.083
240,6,250,2.423,250,1.528E-8,5.521,-17.997
250,1,260,1.595,260,1.358E-8,5.561,-18.114
260,1,270,0.650,270,1.213E-8,5.598,-18.228
270,1,NaN,NaN,NaN,NaN,NaN,NaN
