Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.876,10,4.775E-4,2.303,-7.647
10,2,20,2.150,20,5.968E-5,2.996,-9.726
20,2,30,2.166,30,1.768E-5,3.401,-10.943
30,2,40,2.019,40,7.460E-6,3.689,-11.806
40,2,50,1.792,50,3.820E-6,3.912,-12.475
50,2,60,1.548,60,2.210E-6,4.094,-13.022
60,2,70,1.329,70,6.960E-7,4.248,-14.178
70,1,80,1.160,80,4.663E-7,4.382,-14.578
80,1,90,1.050,90,3.275E-7,4.500,-14.932
90,1,100,0.992,100,2.387E-7,4.605,-15.248
100,1,110,0.975,110,1.794E-7,4.700,-15.534
110,1,120,0.981,120,1.382E-7,4.787,-15.795
120,1,130,0.995,130,1.087E-7,4.868,-16.035
130,1,140,1.002,140,8.700E-8,4.942,-16.257
140,1,150,0.996,150,7.074E-8,5.011,-16.464
150,1,160,0.977,160,5.828E-8,5.075,-16.658
160,1,170,0.953,170,4.859E-8,5.136,-16.840
170,1,180,0.936,180,4.093E-8,5.193,-17.011
180,1,190,0.947,190,3.481E-8,5.247,-17.173
190,1,200,1.004,200,2.984E-8,5.298,-17.327
200,1,210,1.127,210,2.578E-8,5.347,-17.474
210,1,220,1.328,220,2.242E-8,5.394,-17.613
220,1,230,1.609,230,3.924E-8,5.438,-17.054
230,2,240,1.962,240,3.454E-8,5.481,-17.181
240,2,250,2.360,250,3.056E-8,5.521,-17.304
250,2,260,2.764,260,2.717E-8,5.561,-17.421
260,2,270,3.121,270,6.064E-8,5.598,-16.618
270,5,280,3.372,280,3.263E-8,5.635,-17.238
280,3,290,3.457,290,2.937E-8,5.670,-17.343
290,3,300,3.338,300,2.653E-8,5.704,-17.445
300,3,310,3.013,310,2.404E-8,5.737,-17.544
310,3,320,2.548,320,2.186E-8,5.768,-17.639
320,3,330,2.114,330,1.329E-8,5.799,-18.137
330,2,340,2.036,340,1.215E-8,5.829,-18.226
340,2,NaN,NaN,NaN,NaN,NaN,NaN
