Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,2,10,5.000,10,0.001,2.303,-6.731
10,5,20,5.996,20,1.790E-4,2.996,-8.628
20,6,30,6.018,30,5.305E-5,3.401,-9.844
30,6,40,6.968,40,2.611E-5,3.689,-10.553
40,7,50,7.021,50,1.337E-5,3.912,-11.223
50,7,60,6.009,60,6.631E-6,4.094,-11.924
60,6,70,4.974,70,3.480E-6,4.248,-12.568
70,5,80,4.019,80,1.865E-6,4.382,-13.192
80,4,90,1.993,90,6.550E-7,4.500,-14.239
90,2,100,1.001,100,2.387E-7,4.605,-15.248
100,1,NaN,NaN,NaN,NaN,NaN,NaN
