Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.249,10,2.387E-4,2.303,-8.340
10,1,20,0.622,20,2.984E-5,2.996,-10.420
20,1,30,0.776,30,8.842E-6,3.401,-11.636
30,1,40,1.089,40,3.730E-6,3.689,-12.499
40,1,50,1.281,50,1.910E-6,3.912,-13.168
50,1,60,1.285,60,1.105E-6,4.094,-13.715
60,1,70,1.146,70,6.960E-7,4.248,-14.178
70,1,80,0.950,80,4.663E-7,4.382,-14.578
80,1,90,0.781,90,3.275E-7,4.500,-14.932
90,1,100,0.698,100,2.387E-7,4.605,-15.248
100,1,110,0.722,110,1.794E-7,4.700,-15.534
110,1,120,0.842,120,1.382E-7,4.787,-15.795
120,1,130,1.018,130,1.087E-7,4.868,-16.035
130,1,140,1.198,140,8.700E-8,4.942,-16.257
140,1,150,1.327,150,7.074E-8,5.011,-16.464
150,1,160,1.365,160,5.828E-8,5.075,-16.658
160,1,170,1.291,170,4.859E-8,5.136,-16.840
170,1,180,1.114,180,4.093E-8,5.193,-17.011
180,1,190,0.873,190,3.481E-8,5.247,-17.173
190,1,200,0.630,200,2.984E-8,5.298,-17.327
200,1,210,0.466,210,2.578E-8,5.347,-17.474
210,1,220,0.467,220,2.242E-8,5.394,-17.613
220,1,230,0.708,230,1.962E-8,5.438,-17.747
230,1,240,1.234,240,1.727E-8,5.481,-17.874
240,1,250,2.049,250,1.528E-8,5.521,-17.997
250,1,260,3.099,260,2.717E-8,5.561,-17.421
260,2,270,4.265,270,6.064E-8,5.598,-16.618
270,5,280,5.374,280,6.525E-8,5.635,-16.545
280,6,290,6.205,290,5.873E-8,5.670,-16.650
290,6,300,6.537,300,6.189E-8,5.704,-16.598
300,7,310,6.202,310,4.808E-8,5.737,-16.850
310,6,320,5.177,320,3.643E-8,5.768,-17.128
320,5,330,3.706,330,2.657E-8,5.799,-17.443
330,4,340,2.467,340,1.215E-8,5.829,-18.226
340,2,350,2.787,350,1.670E-8,5.858,-17.908
350,3,NaN,NaN,NaN,NaN,NaN,NaN
