Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,2,10,5.032,10,0.001,2.303,-6.731
10,5,20,6.801,20,2.089E-4,2.996,-8.474
20,7,30,6.433,30,5.305E-5,3.401,-9.844
30,6,40,6.823,40,2.611E-5,3.689,-10.553
40,7,50,7.053,50,1.528E-5,3.912,-11.089
50,8,60,6.072,60,4.421E-6,4.094,-12.329
60,4,70,4.012,70,4.176E-6,4.248,-12.386
70,6,80,1.943,80,4.663E-7,4.382,-14.578
80,1,90,0.889,90,3.275E-7,4.500,-14.932
90,1,100,0.906,100,2.387E-7,4.605,-15.248
100,1,110,1.042,110,1.794E-7,4.700,-15.534
110,1,120,0.995,120,1.382E-7,4.787,-15.795
120,1,NaN,NaN,NaN,NaN,NaN,NaN
