Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,2,10,3.004,10,7.162E-4,2.303,-7.242
10,3,20,4.976,20,1.492E-4,2.996,-8.810
20,5,30,4.053,30,3.537E-5,3.401,-10.250
30,4,40,3.982,40,1.492E-5,3.689,-11.113
40,4,50,3.871,50,7.639E-6,3.912,-11.782
50,4,60,3.286,60,3.316E-6,4.094,-12.617
60,3,70,2.705,70,2.088E-6,4.248,-13.079
70,3,80,2.171,80,9.325E-7,4.382,-13.885
80,2,90,0.946,90,3.275E-7,4.500,-14.932
90,1,100,1.007,100,2.387E-7,4.605,-15.248
100,1,NaN,NaN,NaN,NaN,NaN,NaN
