Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,2,10,1.915,10,0.006,2.303,-5.057
10,2,20,2.436,20,0.002,2.996,-6.443
20,2,30,2.260,30,0.001,3.401,-6.849
30,3,40,2.239,40,3.979E-4,3.689,-7.829
40,2,50,2.502,50,2.546E-4,3.912,-8.276
50,2,60,2.801,60,2.653E-4,4.094,-8.235
60,3,70,2.830,70,1.949E-4,4.248,-8.543
70,3,80,2.449,80,1.492E-4,4.382,-8.810
80,3,90,1.769,90,3.930E-5,4.500,-10.144
90,1,100,1.089,100,3.183E-5,4.605,-10.355
100,1,110,0.725,110,2.631E-5,4.700,-10.546
110,1,120,0.803,120,2.210E-5,4.787,-10.720
120,1,130,1.116,130,1.883E-5,4.868,-10.880
130,1,140,1.204,140,1.624E-5,4.942,-11.028
140,1,150,0.823,150,1.415E-5,5.011,-11.166
150,1,160,1.040,160,1.243E-5,5.075,-11.295
160,1,NaN,NaN,NaN,NaN,NaN,NaN
