,,MAD Basal,MAD Apical,NumberofStemsTest,BasalDendriteNumberofBifurcationsTest,BasalDendriteNumberofBranchesTest,BasalDendriteOverallWidthTest,BasalDendriteOverallHeightTest,BasalDendriteOverallDepthTest,BasalDendriteAverageDiameterTest,BasalDendriteTotalLengthTest,BasalDendriteMaxEuclideanDistanceTest,BasalDendriteMaxPathDistanceTest,BasalDendriteMaxBranchOrderTest,BasalDendriteAverageContractionTest,BasalDendritePartitionAsymmetryTest,BasalDendriteAverageRallsRatioTest,BasalDendriteAverageBifurcationAngleLocalTest,BasalDendriteAverageBifurcationAngleRemoteTest,BasalDendriteFractalDimensionTest,ApicalDendriteNumberofBifurcationsTest,ApicalDendriteNumberofBranchesTest,ApicalDendriteOverallWidthTest,ApicalDendriteOverallHeightTest,ApicalDendriteOverallDepthTest,ApicalDendriteAverageDiameterTest,ApicalDendriteTotalLengthTest,ApicalDendriteMaxEuclideanDistanceTest,ApicalDendriteMaxPathDistanceTest,ApicalDendriteMaxBranchOrderTest,ApicalDendriteAverageContractionTest,ApicalDendritePartitionAsymmetryTest,ApicalDendriteAverageRallsRatioTest,ApicalDendriteAverageBifurcationAngleLocalTest,ApicalDendriteAverageBifurcationAngleRemoteTest,ApicalDendriteFractalDimensionTest
,morphology-data/GCs/Denizet-granule/Denizet2017/11c6ns2.CNG.swc,2.522155534,1.381845126,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,-0.071066938,0.003700647,-0.619819645,-0.086954695,-0.094451461,0.001659176,-0.185350822,-0.226096699,0.235707087,0.900064576,0.156091494,0.093453337,0.343340799,-0.59559308
,morphology-data/GCs/Denizet-granule/Denizet2017/14c4ns5.CNG.swc,2.522155534,1.452727238,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,-0.317159699,-0.022046445,-0.493034111,-0.086954695,-0.159782797,-0.027846745,-0.335316611,-0.226096699,0.513547826,0.900064576,0.156091494,-0.340913296,-0.317217669,-0.454821662
,morphology-data/GCs/Denizet-granule/Denizet2017/14c4nd7-1.CNG.swc,2.522155534,1.483945582,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,-0.198883705,-0.060993698,-0.527764758,-0.086954695,-0.175418489,-0.118387907,-0.419678817,-0.226096699,0.265453134,0.900064576,0.156091494,-0.656992696,-0.094072457,-0.456443453
,morphology-data/GCs/Denizet-granule/Denizet2017/2c6nd2.CNG.swc,2.522155534,1.517030297,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,-0.36791681,-0.323984815,-0.189916833,0.427683396,-0.400045605,-0.086954695,-0.025702401,0.447878204,0.174540245,-0.845897444,0.415800768,0.150196351,0.156091494,0.146963648,-0.362032319,-0.59559308
,morphology-data/GCs/Denizet-granule/Denizet2017/10c2nd1.CNG.swc,2.522155534,1.520666165,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,-0.048023231,-0.550299371,-0.490233253,-0.086954695,-0.055486196,-0.564821178,-0.553857647,-0.226096699,0.259311712,0.900064576,0.156091494,-0.116224593,0.028217391,-0.341296325
,morphology-data/GCs/Denizet-granule/Denizet2017/1c6nd3.CNG.swc,2.522155534,1.547379222,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,-0.36791681,-0.323984815,-0.382083058,-0.016253658,-0.501810135,-0.086954695,-0.28398858,-0.058078709,-0.226737418,-0.845897444,0.46608073,0.150196351,0.156091494,0.736166967,0.154872219,-0.259558083
,morphology-data/GCs/Denizet-granule/Denizet2017/2c3nd1.CNG.swc,2.522155534,1.548996204,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,-0.131474282,0.182907309,-0.572578496,-0.086954695,-0.141558484,0.09880614,-0.25630959,-0.226096699,0.792208985,0.900064576,0.156091494,-0.162943736,-0.22614831,-0.529099668
,morphology-data/GCs/Denizet-granule/Denizet2017/5c8nd2-s1-2.CNG.swc,2.522155534,1.591811616,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.724666551,0.569683764,0.165958706,0.468121983,-0.439817798,-0.086954695,0.103512669,0.342459107,0.164882341,-0.226096699,0.184559825,-0.599671874,0.156091494,-0.113426222,0.668762233,-0.389950041
,morphology-data/GCs/Denizet-granule/Denizet2017/2c2ns1-D4.CNG.swc,2.522155534,1.593399332,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.724666551,0.569683764,-0.430115216,0.33340886,-0.489112909,-0.086954695,0.075429739,0.33405605,-0.0225491,-0.226096699,0.462775613,-0.599671874,0.156091494,0.07731639,0.400200747,-0.461633182
,morphology-data/GCs/Denizet-granule/Denizet2017/3c4ns2-D3.CNG.swc,2.522155534,1.607301189,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,-0.996120797,-0.127425879,0.028299041,-0.086954695,-0.106890701,-0.205179829,-0.400961468,-0.226096699,0.270539732,0.900064576,0.156091494,0.27623473,-0.461940443,-0.238474806
