Name,Z _Tot,MAD,NumberofStemsTest,BasalDendriteNumberofBifurcationsTest,BasalDendriteNumberofBranchesTest,BasalDendriteOverallWidthTest,BasalDendriteOverallHeightTest,BasalDendriteOverallDepthTest,BasalDendriteAverageDiameterTest,BasalDendriteTotalLengthTest,BasalDendriteTotalSurfaceTest,BasalDendriteTotalVolumeTest,BasalDendriteMaxEuclideanDistanceTest,BasalDendriteMaxPathDistanceTest,BasalDendriteMaxBranchOrderTest,BasalDendriteAverageContractionTest,BasalDendritePartitionAsymmetryTest,BasalDendriteAverageRallsRatioTest,BasalDendriteAverageBifurcationAngleLocalTest,BasalDendriteAverageBifurcationAngleRemoteTest,BasalDendriteFractalDimensionTest,ApicalDendriteNumberofBifurcationsTest,ApicalDendriteNumberofBranchesTest,ApicalDendriteOverallWidthTest,ApicalDendriteOverallHeightTest,ApicalDendriteOverallDepthTest,ApicalDendriteAverageDiameterTest,ApicalDendriteTotalLengthTest,ApicalDendriteTotalSurfaceTest,ApicalDendriteTotalVolumeTest,ApicalDendriteMaxEuclideanDistanceTest,ApicalDendriteMaxPathDistanceTest,ApicalDendriteMaxBranchOrderTest,ApicalDendriteAverageContractionTest,ApicalDendritePartitionAsymmetryTest,ApicalDendriteAverageRallsRatioTest,ApicalDendriteAverageBifurcationAngleLocalTest,ApicalDendriteAverageBifurcationAngleRemoteTest,ApicalDendriteFractalDimensionTest
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-08-SDB20130216pair2_0.CNG.swc,4.148399777,0.508434506,0.854662961,-0.161470352,0.012497074,-0.782805061,0.535262766,0.089224133,0.11222803,0.477022373,-0.145314518,-0.00380691,-0.077884104,0.192089231,0.07334519,-0.938372418,0.444813833,-0.220980385,-0.280413047,-0.974606833,0.478891969,0.427390878,0.662261877,0.399591652,-1.196110654,-1.691131928,-0.409419514,1.45605655,1.257033392,1.664821173,-0.300322138,0.145911699,0.598977709,-0.167648884,0.398979046,0.191560678,0.049444587,-0.443793086,0.495930102
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-20-SDB20130610cell2.CNG.swc,4.487148981,0.558025979,2.037927106,-0.707886233,-0.557344086,-0.897318568,0.28072057,-0.447370244,-0.105123402,-0.383308963,-1.078090823,-0.947679308,-0.039023298,0.46156185,-0.411181766,-0.634351397,0.859689905,-0.432612063,0.252540653,-0.92966212,0.163973728,-0.150131741,0.150069702,-0.441151837,-0.831098107,-1.7816762,0.154879383,-0.613537632,-0.011993244,-0.063968533,-1.55547813,0.007504389,-0.104280261,-0.523027586,0.023832867,-0.223681165,0.709990998,0.962920847,0.71037252
morphology-data/MCs/urban-done/Case2017/Case-et-al--2017-Fig--5m-lower-center-right.CNG.swc,4.559006894,0.563658767,0.263030889,-0.434678292,-0.462370559,1.848144902,-0.099615383,-0.819840861,-0.712837078,0.042088999,-0.949656977,-0.936902408,0.386430354,0.077222554,0.07334519,1.625005399,0.029932782,-1.443704997,0.25230462,-0.169191463,-1.102269809,-0.496645312,-0.157245603,1.01461583,-0.476301167,-1.444490969,-0.187109448,-0.114812144,-0.32351303,-1.248558899,0.257340489,0.50246702,0.247348724,0.035756202,0.539387283,-1.133867175,-0.589773087,0.313132903,0.044435574
morphology-data/MCs/fukunaga-done/done/IF04230.CNG.swc,4.573620049,0.603133384,0.263030889,0.248341559,0.677311761,1.881272936,0.387751265,0.262275559,-0.5961383,1.289623424,-0.0743273,-0.659894402,0.213645786,0.468823289,0.07334519,1.613350871,0.33166174,0.936184072,0.414158599,0.710418961,-0.53250715,0.311886354,0.457385007,-1.390063109,-0.726481787,1.342920599,-0.298028929,0.54084768,-0.269518356,-1.399568824,-0.493335254,-0.730744404,0.598977709,0.889223091,0.379425326,0.413918437,0.175847009,0.136737326,-0.126962968
morphology-data/MCs/fukunaga-done/done/IF04168.CNG.swc,4.806598135,0.61876587,-0.328601184,-0.571282262,-0.652317613,1.34170998,0.26773889,0.801776618,-0.248358006,-0.031502476,-0.875475166,-1.016264921,0.205818361,0.45599012,0.07334519,1.317933311,-1.629576484,0.92832554,0.103881393,0.316854053,-0.276254751,-0.496645312,-0.208464821,-0.874704921,-0.622943666,1.855048836,-0.212640466,0.875385243,-0.167738446,-1.829739298,-0.182041072,-0.386796394,-0.455909245,0.769607356,-1.114841417,0.37917652,-0.119286227,0.842781662,-0.057579968
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-31-SDB130814c5.CNG.swc,5.052814572,0.633304775,0.854662961,-0.434678292,-0.367397033,-0.840040529,-1.480561745,0.986662396,-0.837439482,-0.75235371,-1.693329072,-1.531441578,-1.504614512,-1.794486315,0.07334519,0.17162522,-0.523236973,-0.010180282,0.835283474,0.167907524,0.755794744,-0.150131741,0.150069702,-0.288631757,0.467632207,-1.832684172,-0.010382902,-0.060168796,-0.235395838,-1.309060477,-0.488803942,0.155372645,0.247348724,-0.309242361,0.093730418,0.682408905,-0.417340081,-0.641383503,0.277447463
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-05-SDB20130214pair1_0.CNG.swc,4.896701472,0.647123844,0.263030889,-0.844490203,-1.032211719,-0.838720857,-0.566418895,-0.471350375,-0.700239052,-0.991503192,-1.793455462,-1.603800364,-0.722095939,-0.810085069,-0.411181766,-0.225219723,0.029932782,0.743892953,1.612883267,0.934084235,-0.253257741,-0.381140788,-0.054807168,-0.249080891,-0.305352719,-1.708544288,-0.121464579,0.731070618,0.518796042,0.003365646,-1.010665749,-0.368213173,-0.80753823,-0.074798311,-0.323828805,0.618240775,0.60044726,-1.194823822,-0.023548889
morphology-data/MCs/urban-done/Case2017/Case-et-al--2017-Fig--5m-lower-center-left.CNG.swc,4.984272174,0.660867246,-0.920233256,-0.707886233,-1.032211719,-0.008953427,1.771415823,-0.720079361,0.420583668,-0.454349298,-0.841354672,-0.260030295,1.008660607,0.838788095,-0.411181766,0.925939841,0.859689905,-1.199507564,0.139591827,0.100296798,-0.190367958,-0.265636264,0.047631267,0.154452976,1.190969811,-0.609721943,0.197721065,0.787727633,1.159415958,0.784911278,0.637036721,0.491869886,1.653864662,0.422268982,1.590023176,-1.415575708,0.027807333,0.128414959,-0.075916349
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-11-SDB20130218pair2_1.CNG.swc,6.124647603,0.666030949,-0.328601184,-0.571282262,-0.747291139,-0.95826189,0.279666122,-0.767728194,1.117196687,-0.786366385,-1.156319118,-0.458900881,-0.04891358,-0.01815264,0.07334519,0.057636235,-0.301966084,-0.920355385,0.24396478,-1.654636328,0.321667512,0.311886354,0.559823442,0.048002533,-1.023902586,-0.398520258,0.025491753,1.613649305,1.931579945,4.021234072,-0.415472794,-0.242719072,0.247348724,-0.147808042,0.353733577,-1.669462231,0.497402925,0.072913019,0.249942892
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-01-SDB20130211pair1_0.CNG.swc,5.179741714,0.666468327,2.037927106,-0.571282262,-0.462370559,-0.670258291,0.113405469,0.472075759,0.046831847,-0.52584207,-1.204450985,-1.087434975,-0.192074942,-0.246071831,-0.411181766,0.651618627,0.361836627,0.425865333,0.474198965,0.631041546,0.08465751,-0.843158883,-0.413341691,1.739774379,-0.499915357,-1.216696329,-0.165338413,1.264011984,0.541479093,-1.59610843,1.149559183,1.641342102,-0.455909245,-0.01715905,-0.70985149,1.424424104,-0.031386598,0.188081007,0.091364277
