model,Passive Score,model_score,,SagVoltageTest,RestingVoltageTest,InputResistanceTest,MembraneTimeConstantTest,CellCapacitanceTest,ReboundSpikingTest,RheobaseTest,AfterHyperpolarizationAmplitudeTest,AfterHyperpolarizationTimeTest,SpikeAmplitudeTest,SpikeHalfWidthTest,SpikePeakTest,SpikeThresholdTest,FISlopeTest,SpikeAccommodationTest,SpikeAccommodationTimeConstantTest,ISICVTest
prev_ob_models.Chen2002.isolated_cells.MC,1.53,4.52,0.79,0.74,0.97,0.38,-0.67,-0.51,0.00,-1.40,-0.03,-1.42,0.42,-2.13,0.00,-0.71,2.55,-0.06,-0.95,-1.19
prev_ob_models.Saghatelyan2005.isolated_cells.MC,1.02,5.79,0.97,0.74,0.30,0.52,-0.28,-0.22,0.00,0.38,1.82,-0.58,1.58,2.66,2.64,1.40,0.18,-0.09,2.96,-1.17
prev_ob_models.Short2016.isolated_cells.MC,1.83,6.15,1.10,0.74,0.46,-0.74,-1.31,-0.56,0.00,1.02,-0.45,-0.78,2.77,2.35,2.64,-0.27,1.50,-0.10,2.96,-1.17
prev_ob_models.McTavish2012.isolated_cells.MC,1.83,6.15,1.10,0.74,0.46,-0.74,-1.31,-0.56,0.00,1.02,-0.45,-0.78,2.77,2.35,2.64,-0.27,1.50,-0.10,2.96,-1.17
prev_ob_models.Yu2012.isolated_cells.MC,1.92,6.21,1.11,0.74,0.46,-0.72,-1.38,-0.69,0.00,0.94,-0.37,-0.90,2.69,2.25,2.65,-0.12,1.89,-0.11,2.96,-1.16
prev_ob_models.Migliore2008microcircuits.isolated_cells.MC,1.67,6.21,1.07,0.74,0.46,-0.51,-1.20,-0.58,0.00,0.61,-0.17,-0.86,2.69,2.76,2.64,-0.13,1.63,-0.10,2.96,-1.17
prev_ob_models.Migliore2005GJs.isolated_cells.MC,1.88,6.24,1.15,0.74,0.49,0.19,-1.27,-1.05,0.00,0.11,2.01,-0.74,1.48,1.62,2.79,1.67,2.29,-0.10,2.96,-1.17
prev_ob_models.Migliore2007columns.isolated_cells.MC,1.67,6.25,1.08,0.74,0.46,-0.51,-1.20,-0.58,0.00,0.61,-0.23,-0.82,2.71,2.76,2.63,-0.17,1.76,-0.11,2.96,-1.17
prev_ob_models.MiglioreMcTavish2013.isolated_cells.MC,1.91,6.41,1.15,0.74,0.46,-0.72,-1.38,-0.69,0.00,0.94,-0.43,-0.90,2.71,2.76,2.62,-0.19,1.89,-0.11,2.96,-1.16
prev_ob_models.Shen1999.isolated_cells.MC,0.91,6.79,0.99,0.74,0.33,0.25,-0.32,-0.07,0.00,0.87,0.85,-1.34,-0.63,-2.65,-0.13,0.60,4.92,-0.06,2.94,-1.19
prev_ob_models.BhallaBower1993.isolated_cells.MC,3.85,6.91,1.23,0.79,0.80,-0.96,0.67,3.49,0.00,1.82,0.27,-1.34,0.79,-3.49,1.37,0.80,-1.26,-0.01,3.09,-1.15
Birgiolas,1.44,8.25,0.65,0.74,0.52,-1.00,-0.50,0.04,0.00,1.00,0.50,-1.46,1.00,1.00,1.00,-0.25,-1.00,-0.14,1.00,0.50
prev_ob_models.Djurisic2008.isolated_cells.MC,4.05,8.37,1.54,0.74,0.97,3.66,-0.31,-1.19,0.00,2.20,2.53,1.26,-0.96,-1.86,-1.62,2.03,-2.45,-0.06,4.72,-1.20
prev_ob_models.David2008.isolated_cells.MC,6.17,8.63,1.42,0.80,0.84,-0.10,3.59,4.88,0.00,0.17,1.35,-1.38,0.06,-4.00,1.19,1.49,-1.53,-0.02,3.07,-1.15
prev_ob_models.KaplanLansner2014.isolated_cells.MC,6.42,8.81,1.43,0.80,0.84,-0.12,3.72,5.11,0.00,0.23,1.31,-1.34,0.08,-4.11,0.86,1.44,-1.53,-0.02,3.07,-1.15
